# m7-slice-upstream-files.tsv — M7 切片表的**上游文件 → 片**逐文件分配（docs/60-M7-PLAN.md §4.1 的可复算底稿）。
#
# 用途：§4.1「上游行数」一栏与「每片 ≤3,500 行」这条约束，必须能被任何人在只读副本上复算，
#   而不必相信文档里的求和。本表把 144 个非测试 .go 文件（`internal/integrations/{channel,slack,telegram,dingtalk,lark,wecom}`）
#   与 5 个 handler 文件**恰好分给 20 个代码片**（无重复、无遗漏）。
#
# 复算（UP = f41fae6b08fb 只读副本的 server/ 目录）：
#
#   awk -F'\t' '{s[$1]+=$3} END{for(k in s) printf "%-6s %6d\n", k, s[k]}' docs/fixtures/m7-slice-upstream-files.tsv | sort
#   awk -F'\t' '{s+=$3} END{print "合计", s}' docs/fixtures/m7-slice-upstream-files.tsv      # ⇒ 合计 48366
#   # 逐文件行数核对（应无输出 = 表内行数与真实行数一致）：
#   while IFS=$'\t' read -r slice path loc; do
#     case "$path" in \#*) continue;; esac
#     real=$(wc -l < "$UP/$path")
#     [ "$real" = "$loc" ] || echo "MISMATCH $path $loc != $real"
#   done < docs/fixtures/m7-slice-upstream-files.tsv
#
# 字段：片<TAB>上游路径（相对 `server/`）<TAB>非测试行数。
# 说明：
#   · 只含 M7 面。`internal/integrations/` 的另外 9 个非测试 .go 文件（composio 3 / ghsnapshot 3 / vcs 3）
#     归 W9 / W8 / W8，**不在本表**（docs/60 §1.2 末段）。
#   · `internal/integrations/**` 一律非测试口径；`internal/handler/*.go` 是 24 条路由的 handler 所在文件，
#     整文件行数记到该渠道的「安装与绑定面」片（M7-4/5/9/14/15）。
#   · 本表是**输入**（计划期的分配），不是本地产出清单；切片实际落地时若拆得更细，
#     只更新 docs/60 §4.1 与本表，**不改**上游基线。
SLICE	UPSTREAM_PATH	LOC
M7-1	internal/integrations/channel/channel.go	109
M7-1	internal/integrations/channel/message.go	222
M7-1	internal/integrations/channel/capability.go	94
M7-1	internal/integrations/channel/registry.go	77
M7-1	internal/integrations/channel/history.go	92
M7-1	internal/integrations/channel/quoted_message.go	33
M7-1	internal/integrations/channel/handler.go	30
M7-1	internal/integrations/channel/issue_link.go	21
M7-1	internal/integrations/channel/member_text.go	10
M7-1	internal/integrations/channel/doc.go	45
M7-1	internal/integrations/channel/engine/router.go	1124
M7-1	internal/integrations/channel/engine/supervisor.go	996
M7-1	internal/integrations/channel/engine/resolvers.go	433
M7-1	internal/integrations/channel/engine/doc.go	31
M7-2	internal/integrations/channel/engine/session.go	1316
M7-2	internal/integrations/channel/engine/batcher.go	169
M7-2	internal/integrations/channel/engine/redis_lease_store.go	167
M7-2	internal/integrations/channel/engine/issue_command.go	150
M7-2	internal/integrations/channel/engine/fresh_command.go	99
M7-2	internal/integrations/channel/engine/title.go	63
M7-2	internal/integrations/channel/engine/provenance.go	34
M7-3	internal/integrations/slack/slack_channel.go	268
M7-3	internal/integrations/slack/inbound.go	241
M7-3	internal/integrations/slack/resolvers.go	429
M7-3	internal/integrations/slack/media_ingest.go	445
M7-3	internal/integrations/slack/config.go	144
M7-3	internal/integrations/slack/mrkdwn.go	134
M7-3	internal/integrations/slack/channel.go	125
M7-4	internal/integrations/slack/outbound.go	244
M7-4	internal/integrations/slack/replier.go	256
M7-4	internal/integrations/slack/typing_indicator.go	298
M7-4	internal/integrations/slack/history.go	737
M7-4	internal/integrations/slack/slash_command.go	368
M7-4	internal/integrations/slack/slash_control.go	191
M7-4	internal/integrations/slack/install.go	255
M7-4	internal/integrations/slack/byo_install.go	190
M7-4	internal/integrations/slack/binding.go	165
