# handler-routes.tsv — upstream registration → route key.
#
# Consumed by scripts/extract_i4_direct_handler.py (rule I4, docs/42 §6.3): the
# `handler` column is the name a handler test can call as `testHandler.<handler>(w, req)`.
# source: docs/fixtures/upstream-routes.tsv joined with the second argument of the
#         server/cmd/server/router.go registration on the line that table cites.
# upstream commit: 90e0bdf830436b3981b32a7017e1c18d41c7cdea
# regenerate: python3 scripts/upstream_handler_index.py --upstream <checkout> --write-handler-routes
# rows: 456 routes — 451 callable handler methods (`h.<Name>`), 3 otherwise qualified (`pkg.fn`), 1 call expressions, 1 inline closures; `-` means a test cannot call the route's registration as `testHandler.X`, so rule I4 never emits from it. 18 of 456 rows cite a path written as a package constant, which cannot be re-checked here; those rows trust the line number upstream-routes.tsv recorded.
#
# handler	method	path	owner	# router.go:N
AcceptInvitation	POST	/api/invitations/{id}/accept	M1	# router.go:1875
AckTaskCancelled	POST	/api/daemon/tasks/{taskId}/cancel-ack	M3	# router.go:1562
AddAgentMcpServer	POST	/api/agents/{id}/mcp-servers	M8	# router.go:2207
AddAgentSkills	POST	/api/agents/{id}/skills/add	M6	# router.go:2195
AddAutopilotCollaborator	POST	/api/autopilots/{id}/collaborators	M5	# router.go:2122
AddIssueReaction	POST	/api/issues/{id}/reactions	M2-A	# router.go:1999
AddReaction	POST	/api/comments/{commentId}/reactions	M2-B	# router.go:2172
AddSquadMember	POST	/api/squads/{id}/members	M4	# router.go:2090
ApprovePluginMCPTools	PUT	/api/workspaces/{id}/plugins/{installationId}/mcp/{hookKey}/tools	M6	# router.go:1743
ArchiveAgent	POST	/api/agents/{id}/archive	M3	# router.go:2188
ArchiveAllInbox	POST	/api/inbox/archive-all	M2-C	# router.go:2390
ArchiveAllReadInbox	POST	/api/inbox/archive-all-read	M2-C	# router.go:2391
ArchiveCompletedInbox	POST	/api/inbox/archive-completed	M2-C	# router.go:2392
ArchiveInboxItem	POST	/api/inbox/{id}/archive	M2-C	# router.go:2395
ArchiveIssueStatus	DELETE	/api/issue-statuses/{id}/	M2-A	# router.go:2060
AttachLabel	POST	/api/issues/{id}/labels	M2-A	# router.go:2004
AttachLabelToAgent	POST	/api/agents/{id}/labels	M3	# router.go:2197
